,CH1,CH2,CH3
Second,Volt,Volt,Volt
-3.48320e-05,5.00e+00,2.20e+00,4.80e-02, 
-3.47920e-05,5.20e+00,7.40e+00,6.20e-02, 
-3.47520e-05,5.20e+00,8.00e+00,5.00e-02, 
-3.47120e-05,5.20e+00,1.14e+01,6.20e-02, 
-3.46720e-05,5.20e+00,1.16e+01,6.00e-02, 
-3.46320e-05,5.20e+00,1.26e+01,5.20e-02, 
-3.45920e-05,5.20e+00,1.28e+01,5.80e-02, 
-3.45520e-05,5.40e+00,1.36e+01,5.40e-02, 
-3.45120e-05,5.40e+00,1.36e+01,5.20e-02, 
-3.44720e-05,5.20e+00,1.38e+01,5.80e-02, 
-3.44320e-05,5.20e+00,1.38e+01,5.40e-02, 
-3.43920e-05,5.40e+00,1.40e+01,5.60e-02, 
-3.43520e-05,5.20e+00,1.38e+01,5.60e-02, 
-3.43120e-05,5.40e+00,1.40e+01,5.20e-02, 
-3.42720e-05,5.40e+00,1.40e+01,5.40e-02, 
-3.42320e-05,5.40e+00,1.38e+01,5.60e-02, 
-3.41920e-05,5.40e+00,1.40e+01,5.40e-02, 
-3.41520e-05,5.60e+00,1.40e+01,5.60e-02, 
-3.41120e-05,5.40e+00,1.40e+01,5.60e-02, 
-3.40720e-05,5.60e+00,1.40e+01,5.40e-02, 
-3.40320e-05,5.40e+00,1.40e+01,5.20e-02, 
-3.39920e-05,5.60e+00,1.40e+01,5.60e-02, 
-3.39520e-05,5.60e+00,1.40e+01,5.60e-02, 
-3.39120e-05,5.60e+00,1.40e+01,5.20e-02, 
-3.38720e-05,5.60e+00,1.40e+01,5.40e-02, 
-3.38320e-05,5.60e+00,1.40e+01,5.60e-02, 
-3.37920e-05,5.60e+00,1.40e+01,5.60e-02, 
-3.37520e-05,5.60e+00,1.40e+01,5.20e-02, 
-3.37120e-05,5.60e+00,1.40e+01,5.60e-02, 
-3.36720e-05,5.80e+00,1.38e+01,5.20e-02, 
-3.36320e-05,5.80e+00,1.40e+01,5.60e-02, 
-3.35920e-05,5.80e+00,1.40e+01,5.20e-02, 
-3.35520e-05,5.80e+00,1.40e+01,5.20e-02, 
-3.35120e-05,6.00e+00,1.40e+01,5.60e-02, 
-3.34720e-05,5.80e+00,1.40e+01,5.40e-02, 
-3.34320e-05,6.00e+00,1.40e+01,5.40e-02, 
-3.33920e-05,6.00e+00,1.40e+01,5.60e-02, 
-3.33520e-05,6.00e+00,1.38e+01,5.20e-02, 
-3.33120e-05,6.00e+00,1.40e+01,5.60e-02, 
-3.32720e-05,6.20e+00,1.38e+01,5.20e-02, 
-3.32320e-05,6.00e+00,1.40e+01,5.40e-02, 
-3.31920e-05,6.20e+00,1.38e+01,5.20e-02, 
-3.31520e-05,6.20e+00,1.40e+01,5.40e-02, 
-3.31120e-05,6.40e+00,1.40e+01,5.60e-02, 
-3.30720e-05,6.40e+00,1.38e+01,5.20e-02, 
-3.30320e-05,6.20e+00,1.40e+01,5.60e-02, 
-3.29920e-05,6.40e+00,1.40e+01,5.60e-02, 
-3.29520e-05,6.40e+00,1.38e+01,5.20e-02, 
-3.29120e-05,6.40e+00,1.40e+01,5.60e-02, 
-3.28720e-05,6.40e+00,1.38e+01,5.20e-02, 
-3.28320e-05,6.40e+00,1.40e+01,5.20e-02, 
-3.27920e-05,6.60e+00,1.38e+01,5.40e-02, 
-3.27520e-05,6.40e+00,1.40e+01,5.40e-02, 
-3.27120e-05,6.60e+00,1.38e+01,5.60e-02, 
-3.26720e-05,6.40e+00,1.40e+01,5.60e-02, 
-3.26320e-05,6.60e+00,1.38e+01,5.40e-02, 
-3.25920e-05,6.60e+00,1.38e+01,5.60e-02, 
-3.25520e-05,6.40e+00,1.40e+01,5.20e-02, 
-3.25120e-05,6.60e+00,1.40e+01,5.20e-02, 
-3.24720e-05,6.80e+00,1.38e+01,5.60e-02, 
-3.24320e-05,6.60e+00,1.40e+01,5.40e-02, 
-3.23920e-05,6.80e+00,1.38e+01,5.60e-02, 
-3.23520e-05,6.60e+00,1.38e+01,5.20e-02, 
-3.23120e-05,6.80e+00,1.40e+01,5.60e-02, 
-3.22720e-05,6.80e+00,1.40e+01,5.40e-02, 
-3.22320e-05,7.00e+00,1.38e+01,5.20e-02, 
-3.21920e-05,7.00e+00,1.40e+01,5.20e-02, 
-3.21520e-05,6.80e+00,1.38e+01,5.60e-02, 
-3.21120e-05,7.00e+00,1.40e+01,5.20e-02, 
-3.20720e-05,6.80e+00,1.38e+01,5.60e-02, 
-3.20320e-05,7.00e+00,1.40e+01,5.20e-02, 
-3.19920e-05,7.00e+00,1.38e+01,5.60e-02, 
-3.19520e-05,7.00e+00,1.40e+01,5.20e-02, 
-3.19120e-05,7.00e+00,1.38e+01,5.60e-02, 
-3.18720e-05,7.00e+00,1.38e+01,5.20e-02, 
-3.18320e-05,7.20e+00,1.40e+01,5.60e-02, 
-3.17920e-05,7.00e+00,1.38e+01,5.60e-02, 
-3.17520e-05,7.20e+00,1.40e+01,5.20e-02, 
-3.17120e-05,7.00e+00,1.38e+01,5.60e-02, 
-3.16720e-05,7.20e+00,1.40e+01,5.20e-02, 
-3.16320e-05,7.00e+00,1.38e+01,5.40e-02, 
-3.15920e-05,7.20e+00,1.40e+01,5.60e-02, 
-3.15520e-05,7.20e+00,1.40e+01,5.20e-02, 
-3.15120e-05,7.20e+00,1.38e+01,5.60e-02, 
-3.14720e-05,7.20e+00,1.40e+01,5.40e-02, 
-3.14320e-05,7.40e+00,1.38e+01,5.40e-02, 
-3.13920e-05,7.40e+00,1.38e+01,5.60e-02, 
-3.13520e-05,7.20e+00,1.40e+01,5.20e-02, 
-3.13120e-05,7.40e+00,1.38e+01,5.20e-02, 
-3.12720e-05,7.40e+00,1.40e+01,5.60e-02, 
-3.12320e-05,7.40e+00,1.40e+01,5.40e-02, 
-3.11920e-05,7.60e+00,1.38e+01,5.40e-02, 
-3.11520e-05,7.40e+00,1.40e+01,5.20e-02, 
-3.11120e-05,7.60e+00,1.38e+01,5.60e-02, 
-3.10720e-05,7.40e+00,1.40e+01,5.20e-02, 
-3.10320e-05,7.60e+00,1.38e+01,5.60e-02, 
-3.09920e-05,7.60e+00,1.40e+01,5.40e-02, 
-3.09520e-05,7.60e+00,1.38e+01,5.40e-02, 
-3.09120e-05,7.60e+00,1.40e+01,5.20e-02, 
-3.08720e-05,7.80e+00,1.38e+01,5.60e-02, 
-3.08320e-05,7.80e+00,1.38e+01,5.60e-02, 
-3.07920e-05,7.60e+00,1.40e+01,5.20e-02, 
-3.07520e-05,7.80e+00,1.38e+01,5.60e-02, 
-3.07120e-05,7.80e+00,1.40e+01,5.20e-02, 
-3.06720e-05,7.80e+00,1.40e+01,5.40e-02, 
-3.06320e-05,7.80e+00,1.38e+01,5.20e-02, 
