,CH1,CH2
Second,Volt,Volt
5.09000e-03,4.00e-01,-8.80e-03, 
5.10000e-03,4.00e-01,-8.00e-03, 
5.11000e-03,-4.00e-01,-3.20e-03, 
5.12000e-03,0.00e+00,-2.40e-03, 
5.13000e-03,4.00e-01,-7.20e-03, 
5.14000e-03,8.00e-01,-8.00e-04, 
5.15000e-03,-8.00e-01,-8.00e-03, 
5.16000e-03,-8.00e-01,-2.40e-03, 
5.17000e-03,4.00e-01,-7.20e-03, 
5.18000e-03,4.00e-01,0.00e+00, 
5.19000e-03,0.00e+00,-8.00e-03, 
5.20000e-03,8.00e-01,-2.40e-03, 
5.21000e-03,-8.00e-01,-1.28e-02, 
5.22000e-03,-8.00e-01,0.00e+00, 
5.23000e-03,4.00e-01,-6.40e-03, 
5.24000e-03,0.00e+00,-8.00e-03, 
5.25000e-03,8.00e-01,-2.40e-03, 
5.26000e-03,4.00e-01,-9.60e-03, 
5.27000e-03,-4.00e-01,-8.00e-04, 
5.28000e-03,-8.00e-01,0.00e+00, 
