,CH1,CH2,CH3
Second,Volt,Volt,Volt
-3.23520e-05,-2.00e-01,4.00e-01,4.00e-03, 
-3.23120e-05,-2.00e-01,2.00e-01,2.00e-03, 
-3.22720e-05,-2.00e-01,2.00e-01,6.00e-03, 
-3.22320e-05,-2.00e-01,4.00e-01,2.00e-03, 
-3.21920e-05,-2.00e-01,2.00e-01,4.00e-03, 
-3.21520e-05,-2.00e-01,4.00e-01,2.00e-03, 
-3.21120e-05,-2.00e-01,4.00e-01,4.00e-03, 
-3.20720e-05,-2.00e-01,2.00e-01,2.00e-03, 
-3.20320e-05,-2.00e-01,4.00e-01,4.00e-03, 
-3.19920e-05,-2.00e-01,2.00e-01,2.00e-03, 
-3.19520e-05,-2.00e-01,4.00e-01,4.00e-03, 
-3.19120e-05,-2.00e-01,2.00e-01,2.00e-03, 
-3.18720e-05,-2.00e-01,4.00e-01,4.00e-03, 
-3.18320e-05,-2.00e-01,2.00e-01,4.00e-03, 
-3.17920e-05,-2.00e-01,4.00e-01,4.00e-03, 
-3.17520e-05,-2.00e-01,2.00e-01,2.00e-03, 
-3.17120e-05,-2.00e-01,4.00e-01,4.00e-03, 
-3.16720e-05,-2.00e-01,2.00e-01,2.00e-03, 
-3.16320e-05,-2.00e-01,4.00e-01,2.00e-03, 
-3.15920e-05,-2.00e-01,2.00e-01,6.00e-03, 
-3.15520e-05,-2.00e-01,2.00e-01,4.00e-03, 
-3.15120e-05,-2.00e-01,4.00e-01,2.00e-03, 
-3.14720e-05,-2.00e-01,4.00e-01,4.00e-03, 
-3.14320e-05,-2.00e-01,2.00e-01,4.00e-03, 
-3.13920e-05,-2.00e-01,4.00e-01,4.00e-03, 
-3.13520e-05,-2.00e-01,2.00e-01,4.00e-03, 
-3.13120e-05,-2.00e-01,2.00e-01,4.00e-03, 
-3.12720e-05,-2.00e-01,4.00e-01,2.00e-03, 
-3.12320e-05,-2.00e-01,4.00e-01,4.00e-03, 
-3.11920e-05,-2.00e-01,2.00e-01,2.00e-03, 
-3.11520e-05,-2.00e-01,2.00e-01,2.00e-03, 
-3.11120e-05,-2.00e-01,4.00e-01,4.00e-03, 
-3.10720e-05,-2.00e-01,4.00e-01,4.00e-03, 
-3.10320e-05,-2.00e-01,2.00e-01,2.00e-03, 
-3.09920e-05,-2.00e-01,4.00e-01,4.00e-03, 
-3.09520e-05,-2.00e-01,2.00e-01,2.00e-03, 
-3.09120e-05,-2.00e-01,4.00e-01,4.00e-03, 
-3.08720e-05,-2.00e-01,2.00e-01,2.00e-03, 
-3.08320e-05,-2.00e-01,4.00e-01,4.00e-03, 
-3.07920e-05,-2.00e-01,2.00e-01,2.00e-03, 
-3.07520e-05,-2.00e-01,4.00e-01,4.00e-03, 
-3.07120e-05,-2.00e-01,2.00e-01,2.00e-03, 
-3.06720e-05,-2.00e-01,2.00e-01,4.00e-03, 
-3.06320e-05,-2.00e-01,4.00e-01,2.00e-03, 
-3.05920e-05,-2.00e-01,2.00e-01,2.00e-03, 
-3.05520e-05,-2.00e-01,4.00e-01,4.00e-03, 
-3.05120e-05,-2.00e-01,4.00e-01,4.00e-03, 
-3.04720e-05,-2.00e-01,2.00e-01,2.00e-03, 
-3.04320e-05,-2.00e-01,4.00e-01,4.00e-03, 
-3.03920e-05,-2.00e-01,2.00e-01,2.00e-03, 
-3.03520e-05,-2.00e-01,4.00e-01,2.00e-03, 
-3.03120e-05,-2.00e-01,2.00e-01,4.00e-03, 
-3.02720e-05,-2.00e-01,2.00e-01,0.00e+00, 
-3.02320e-05,4.00e-01,2.20e+00,3.40e-02, 
-3.01920e-05,6.00e-01,3.00e+00,5.40e-02, 
-3.01520e-05,5.00e+00,9.60e+00,1.20e-01, 
-3.01120e-05,7.80e+00,9.60e+00,2.78e-01, 
-3.00720e-05,3.80e+00,1.18e+01,1.36e-01, 
-3.00320e-05,5.80e+00,1.20e+01,1.88e-01, 
-2.99920e-05,6.20e+00,1.26e+01,1.16e-01, 
-2.99520e-05,6.40e+00,1.28e+01,1.34e-01, 
-2.99120e-05,8.20e+00,1.38e+01,8.20e-02, 
-2.98720e-05,8.40e+00,1.38e+01,8.80e-02, 
-2.98320e-05,1.00e+01,1.46e+01,4.20e-02, 
-2.97920e-05,1.02e+01,1.46e+01,5.20e-02, 
-2.97520e-05,1.16e+01,1.50e+01,1.80e-02, 
-2.97120e-05,1.18e+01,1.50e+01,2.40e-02, 
-2.96720e-05,1.26e+01,1.52e+01,6.00e-03, 
-2.96320e-05,1.28e+01,1.50e+01,8.00e-03, 
-2.95920e-05,1.34e+01,1.52e+01,-2.00e-03, 
-2.95520e-05,1.34e+01,1.52e+01,-2.00e-03, 
-2.95120e-05,1.38e+01,1.50e+01,4.00e-03, 
-2.94720e-05,1.38e+01,1.52e+01,0.00e+00, 
-2.94320e-05,1.42e+01,1.50e+01,6.00e-03, 
-2.93920e-05,1.42e+01,1.52e+01,6.00e-03, 
-2.93520e-05,1.44e+01,1.50e+01,8.00e-03, 
-2.93120e-05,1.44e+01,1.52e+01,8.00e-03, 
-2.92720e-05,1.42e+01,1.50e+01,1.20e-02, 
-2.92320e-05,1.46e+01,1.52e+01,1.20e-02, 
-2.91920e-05,1.44e+01,1.52e+01,1.60e-02, 
-2.91520e-05,1.46e+01,1.52e+01,1.40e-02, 
-2.91120e-05,1.48e+01,1.50e+01,1.80e-02, 
-2.90720e-05,1.46e+01,1.52e+01,1.80e-02, 
-2.90320e-05,1.48e+01,1.52e+01,2.20e-02, 
-2.89920e-05,1.48e+01,1.52e+01,2.00e-02, 
-2.89520e-05,1.46e+01,1.52e+01,2.40e-02, 
-2.89120e-05,1.48e+01,1.52e+01,2.20e-02, 
-2.88720e-05,1.46e+01,1.50e+01,2.40e-02, 
-2.88320e-05,1.46e+01,1.50e+01,2.40e-02, 
-2.87920e-05,1.48e+01,1.52e+01,2.60e-02, 
-2.87520e-05,1.48e+01,1.52e+01,2.40e-02, 
-2.87120e-05,1.46e+01,1.50e+01,2.60e-02, 
-2.86720e-05,1.48e+01,1.52e+01,2.60e-02, 
-2.86320e-05,1.46e+01,1.50e+01,2.80e-02, 
-2.85920e-05,1.48e+01,1.52e+01,2.80e-02, 
-2.85520e-05,1.46e+01,1.50e+01,2.60e-02, 
-2.85120e-05,1.48e+01,1.50e+01,2.80e-02, 
-2.84720e-05,1.48e+01,1.52e+01,2.60e-02, 
-2.84320e-05,1.48e+01,1.50e+01,2.80e-02, 
-2.83920e-05,1.46e+01,1.52e+01,2.80e-02, 
-2.83520e-05,1.48e+01,1.52e+01,2.80e-02, 
-2.83120e-05,1.46e+01,1.50e+01,3.00e-02, 
-2.82720e-05,1.48e+01,1.50e+01,3.00e-02, 
-2.82320e-05,1.48e+01,1.52e+01,2.80e-02, 
-2.81920e-05,1.48e+01,1.50e+01,3.00e-02, 
-2.81520e-05,1.46e+01,1.52e+01,3.20e-02, 
-2.81120e-05,1.48e+01,1.50e+01,3.00e-02, 
-2.80720e-05,1.46e+01,1.52e+01,3.20e-02, 
-2.80320e-05,1.48e+01,1.52e+01,3.20e-02, 
-2.79920e-05,1.48e+01,1.50e+01,3.00e-02, 
-2.79520e-05,1.48e+01,1.50e+01,3.20e-02, 
-2.79120e-05,1.46e+01,1.52e+01,3.00e-02, 
-2.78720e-05,1.48e+01,1.52e+01,3.20e-02, 
-2.78320e-05,1.46e+01,1.50e+01,3.00e-02, 
-2.77920e-05,1.48e+01,1.52e+01,3.20e-02, 
-2.77520e-05,1.48e+01,1.50e+01,3.00e-02, 
-2.77120e-05,1.48e+01,1.50e+01,3.20e-02, 
-2.76720e-05,1.48e+01,1.52e+01,3.40e-02, 
-2.76320e-05,1.48e+01,1.50e+01,3.40e-02, 
-2.75920e-05,1.46e+01,1.52e+01,3.20e-02, 
-2.75520e-05,1.48e+01,1.50e+01,3.20e-02, 
