,CH1,CH2
Second,Volt,Volt
3.45000e-03,-8.00e-01,-6.40e-03, 
3.46000e-03,-4.00e-01,-5.60e-03, 
3.47000e-03,4.00e-01,0.00e+00, 
3.48000e-03,4.00e-01,-1.12e-02, 
3.49000e-03,-4.00e-01,-8.00e-04, 
3.50000e-03,0.00e+00,-8.00e-03, 
3.51000e-03,-8.00e-01,1.60e-03, 
3.52000e-03,-8.00e-01,-1.04e-02, 
3.53000e-03,0.00e+00,-2.40e-03, 
3.54000e-03,8.00e-01,-1.60e-03, 
3.55000e-03,-4.00e-01,-8.80e-03, 
3.56000e-03,-8.00e-01,-1.60e-03, 
3.57000e-03,0.00e+00,-7.20e-03, 
3.58000e-03,-8.00e-01,-3.20e-03, 
3.59000e-03,4.00e-01,-7.20e-03, 
3.60000e-03,4.00e-01,-6.40e-03, 
3.61000e-03,-4.00e-01,-1.60e-03, 
3.62000e-03,0.00e+00,-8.80e-03, 
3.63000e-03,-4.00e-01,1.60e-03, 
3.64000e-03,-8.00e-01,-8.00e-03, 
3.65000e-03,0.00e+00,1.60e-03, 
3.66000e-03,-4.00e-01,-7.20e-03, 
3.67000e-03,8.00e-01,8.00e-04, 
3.68000e-03,0.00e+00,8.00e-04, 
3.69000e-03,-4.00e-01,-8.00e-03, 
3.70000e-03,-8.00e-01,8.00e-04, 
3.71000e-03,0.00e+00,-4.80e-03, 
3.72000e-03,0.00e+00,-1.04e-02, 
3.73000e-03,4.00e-01,0.00e+00, 
3.74000e-03,-4.00e-01,-8.00e-03, 
3.75000e-03,4.00e-01,8.00e-04, 
3.76000e-03,-8.00e-01,1.60e-03, 
3.77000e-03,4.00e-01,-9.60e-03, 
3.78000e-03,-4.00e-01,-5.60e-03, 
3.79000e-03,8.00e-01,-8.00e-04, 
3.80000e-03,0.00e+00,-1.12e-02, 
3.81000e-03,-8.00e-01,-1.60e-03, 
3.82000e-03,0.00e+00,8.00e-04, 
3.83000e-03,-8.00e-01,-1.12e-02, 
3.84000e-03,-4.00e-01,-4.00e-03, 
3.85000e-03,8.00e-01,-8.80e-03, 
